"variables","pvalues","adj_pvalues","FoldChange","significance_raw","significance_adj"
"1_5-anhydroglucitol",0.968895387677516,0.99176270619029,0.86716181928725,FALSE,FALSE
"1-monopalmitin",0.830487028638089,0.984548338282111,1.07447961337137,FALSE,FALSE
"1-monostearin",0.238659018916976,0.533647147447004,0.961257273356909,FALSE,FALSE
"2-deoxyerythritol",0.778707735317387,0.984548338282111,1.2851013526557,FALSE,FALSE
"2-hydroxybutanoic_acid",0.121957496165231,0.375603425353151,1.13621364859033,FALSE,FALSE
"2-hydroxyglutaric_acid",0.0208617298268595,0.135601243874587,1.25355450551391,TRUE,FALSE
"2-hydroxyhippuric_acid",0.0473025972718814,0.212046125701537,4.74367542511284,TRUE,FALSE
"2-hydroxyvaleric_acid",0.887183441118865,0.984548338282111,1.06634938492361,FALSE,FALSE
"2-ketoisocaproic_acid",0.957420679697817,0.99176270619029,0.998617584206898,FALSE,FALSE
"3-aminoisobutyric_acid",0.905916382217099,0.984548338282111,1.04719721096949,FALSE,FALSE
"3-hydroxybutanoic_acid",0.109128308864739,0.363761029549131,2.14611054231738,FALSE,FALSE
"3-phosphoglycerate",0.00271357684208421,0.0587941649118246,1.62786679508048,TRUE,FALSE
"4-hydroxyproline",0.958827742770289,0.99176270619029,1.06729803562415,FALSE,FALSE
"5-methoxytryptamine",0.908813850721948,0.984548338282111,1.10338573621624,FALSE,FALSE
"aconitic_acid",0.220521432862662,0.521232477675383,0.977088918883682,FALSE,FALSE
"adenosine-5-phosphate",0.0137073235814018,0.127282290398731,2.4609343272132,TRUE,FALSE
"adipic_acid",0.475041296127339,0.780462476703647,0.955508303240392,FALSE,FALSE
"alanine",0.580094524632944,0.847329080924526,0.971170267051071,FALSE,FALSE
"alpha_ketoglutaric_acid",0.809497011839029,0.984548338282111,1.13884415202582,FALSE,FALSE
"aminomalonic_acid",0.282574765712245,0.60220851709167,1.08547045211636,FALSE,FALSE
"arabinose",0.246298683437079,0.533647147447004,1.12699071014843,FALSE,FALSE
"arabitol",0.502537889823803,0.780462476703647,1.01087261836399,FALSE,FALSE
"arachidic_acid",0.0690169958300526,0.280381545559589,0.852926856310265,FALSE,FALSE
"arachidonic_acid",0.0413894723115703,0.199282644463116,1.23942007298057,TRUE,FALSE
"asparagine",0.523096101814703,0.800029332187193,0.985248409653264,FALSE,FALSE
"aspartic_acid",0.00520564434357402,0.0687549427086733,1.44656936410453,TRUE,FALSE
"azelaic_acid",0.00428016989849017,0.0687549427086733,2.10688727102831,TRUE,FALSE
"behenic_acid",0.908570732180741,0.984548338282111,1.0712746041102,FALSE,FALSE
"benzoic_acid",0.152361956195207,0.448833207042103,0.946739615323432,FALSE,FALSE
"benzylalcohol",0.822299719503911,0.984548338282111,1.02475048041673,FALSE,FALSE
"capric_acid",0.672448159906108,0.920192218818884,1.01334932125532,FALSE,FALSE
"caprylic_acid",0.0156658242513766,0.127284822042434,0.883631798119204,TRUE,FALSE
"cholesterol",0.501740441997801,0.780462476703647,1.04481125717079,FALSE,FALSE
"citric_acid",0.244895312318601,0.533647147447004,0.982713068174986,FALSE,FALSE
"citrulline",0.0185616590961309,0.132480605202742,0.820040335719838,TRUE,FALSE
"creatinine",0.0861405905956801,0.328373200969993,1.03799420765991,FALSE,FALSE
"cysteine",0.231796687478038,0.532313095095134,0.845326175790779,FALSE,FALSE
"cysteine-glycine",0.176888206667222,0.454948470752177,0.936170853029506,FALSE,FALSE
"cystine",3.64594773409658e-05,0.00473973205432556,0.691320875877165,TRUE,TRUE
"dihydro-3-coumaric_acid",0.572359519051661,0.847329080924526,0.922164657081027,FALSE,FALSE
