"variables","pvalues","log2FoldChange","pkimodelsmean","significance"
"1_5-anhydroglucitol",0.737074924547917,-0.151258270888454,-7.53831037550199,FALSE
"1-monopalmitin",0.753525436752384,0.105787996287836,-13.9326756219962,FALSE
"1-monostearin",0.930364530740359,-0.0675944850701171,-14.8802368344076,FALSE
"2-deoxyerythritol",0.737074924547917,0.280700592998202,-12.1880978706355,FALSE
"2-hydroxybutanoic_acid",0.885198516142,0.209984016682193,-7.1516995478832,FALSE
"2-hydroxyglutaric_acid",0.737074924547917,0.394052886394894,-12.4004704330576,FALSE
"2-hydroxyhippuric_acid",0.737074924547917,2.4113982993994,-14.0157395883598,FALSE
"2-hydroxyvaleric_acid",0.903901062485089,0.123597534234401,-10.7549542306432,FALSE
"2-ketoisocaproic_acid",0.749128950756265,0.0476353762603927,-8.88073969016457,FALSE
"3-aminoisobutyric_acid",0.966067473671343,0.102809427449497,-12.0094197991288,FALSE
"3-hydroxybutanoic_acid",0.749128950756265,1.08501180096677,-8.29289673544384,FALSE
"3-phosphoglycerate",0.749128950756265,0.754399817814438,-12.8186399941056,FALSE
"4-hydroxyproline",0.966067473671343,0.134740904367041,-9.52004081404523,FALSE
"5-methoxytryptamine",0.885364057822797,0.503153761523808,-13.0522034474912,FALSE
"aconitic_acid",0.657314145402329,-0.0333919093376218,-13.725480885077,FALSE
"adenosine-5-phosphate",0.657314145402329,0.995386900494629,-12.2929064744927,FALSE
"adipic_acid",0.777000258739541,-0.0155932417219076,-12.1379710840089,FALSE
"alanine",0.885364057822797,-0.00788833420194827,-3.76792663601085,FALSE
"alpha_ketoglutaric_acid",0.438199901322318,0.20359894632578,-11.9653080439643,FALSE
"aminomalonic_acid",0.657314145402329,0.064385464212691,-10.4397574769176,FALSE
"arabinose",0.992382322329892,0.209257863304196,-12.659209154515,FALSE
"arabitol",0.966067473671343,0.0455684302796917,-13.6268017437733,FALSE
"arachidic_acid",0.885364057822797,-0.280947473742079,-9.90111901412934,FALSE
"arachidonic_acid",0.388263245030983,0.194981015233224,-11.6134110379396,FALSE
"asparagine",0.899402834561854,-0.215788899921044,-9.69641342945944,FALSE
"aspartic_acid",0.749128950756265,0.20696660135763,-11.1368936958115,FALSE
"azelaic_acid",0.749128950756265,0.158175123988587,-14.0778901265369,FALSE
"behenic_acid",0.749128950756265,-0.0435236203368572,-13.0387454346999,FALSE
"benzoic_acid",0.676315554218343,-0.0507428853328559,-9.18621520283826,FALSE
"benzylalcohol",0.657314145402329,0.0553066940943974,-11.2013031770839,FALSE
"capric_acid",0.657314145402329,0.0794914615041494,-10.5601465013697,FALSE
"caprylic_acid",0.930364530740359,-0.032013942626121,-11.3262505087182,FALSE
"cholesterol",0.657314145402329,0.179091425490646,-5.22545741683623,FALSE
"citric_acid",0.143947481364316,0.00318911388191586,-6.72305808073732,FALSE
"citrulline",0.749128950756265,-0.443753138969571,-11.8707741606818,FALSE
"creatinine",0.438199901322318,0.102361271085826,-8.94238824740867,FALSE
"cysteine",0.89001587438332,-0.329954335630406,-10.5946485337164,FALSE
"cysteine-glycine",0.89001587438332,-0.0502921329392477,-13.1118715221302,FALSE
"cystine",0.676315554218343,-0.734122934540555,-9.95506428489499,FALSE
"dihydro-3-coumaric_acid",0.54692930888191,-0.0535064666399715,-11.7831670855488,FALSE
"erythritol",0.737074924547917,-2.37754101941116,-11.3956898268627,FALSE
"ethanolamine",0.930364530740359,0.476461428194508,-10.8550263662525,FALSE
"fructose",0.831025369722217,-1.11642058921777,-10.4692654787624,FALSE
"fucose",0.966067473671343,0.109371897303543,-10.866007864146,FALSE
"fumaric_acid",0.657314145402329,-0.00573890188206779,-12.7523833013298,FALSE
"gamma-tocopherol",0.676315554218343,-0.277343914330641,-12.6494986484507,FALSE
"gluconic_acid",0.749128950756265,0.0653670638640944,-13.0898768451034,FALSE
"glucose",0.657314145402329,-0.306010078153326,-3.53420471296403,FALSE
"glucuronic_acid",0.992382322329892,0.423156206847168,-11.992227687383,FALSE
"glutamic_acid",0.850537447454162,0.275868716984012,-7.99319558111314,FALSE
"glutamine",0.797613218827808,-0.348158822647938,-5.49631725010659,FALSE
"glutaric_acid",0.885364057822797,0.231592820831334,-14.0053363790248,FALSE
"glyceric_acid",0.408986068061356,0.0623700387558124,-10.1576200187575,FALSE
"glycerol",0.885198516142,0.293894369228509,-6.78666293510829,FALSE
"glycerol-3-galactoside",0.676315554218343,0.0286628335337557,-12.5886470810773,FALSE
"glycerol-alpha-phosphate",0.809109244111297,0.309037591601878,-12.2970680685076,FALSE
"glycine",0.737074924547917,-0.00329087150291739,-4.41867526822609,FALSE
"glycolic_acid",0.966067473671343,0.162132889887537,-11.4206139962657,FALSE
"hippuric_acid",0.737074924547917,0.463475246937659,-7.98111641643039,FALSE
"histidine",0.966067473671343,-0.501669666777371,-8.68452276995718,FALSE
"hydroxylamine",0.930364530740359,0.135206567293316,-10.501289555597,FALSE
"indole-3-acetate",0.388263245030983,0.0653107642659494,-11.2777955632437,FALSE
"indole-3-lactate",0.885364057822797,-0.204343746284979,-11.8382198888142,FALSE
"inosine",0.966067473671343,-0.830692040022934,-14.8095987446892,FALSE
"inulobiose",0.388263245030983,0.474839382968867,-12.7348448208386,FALSE
"isocitric_acid",0.143947481364316,0.161075722625154,-11.738073532481,FALSE
"isoleucine",0.676315554218343,0.0604035581631135,-5.94442165239637,FALSE
"isothreonic_acid",0.657314145402329,0.144663129992022,-11.7021705001996,FALSE
"kynurenine",0.657314145402329,0.521328814217757,-13.6452115060668,FALSE
"lactamide",0.2913021613934,0.272486464713656,-12.5982954001702,FALSE
"lactic_acid",0.777000258739541,0.703654007301004,-4.62507717074379,FALSE
"lauric_acid",0.966067473671343,0.217194021215302,-8.82440356138305,FALSE
"leucine",0.997164874571503,0.0730724728856843,-5.44753886390119,FALSE
"levoglucosan",0.657314145402329,0.105769141245938,-12.3398791661461,FALSE
"lignoceric_acid",0.89001587438332,0.321125196894723,-12.6227641331813,FALSE
"linoleic_acid",0.737074924547917,0.600538528078338,-10.6477559948595,FALSE
"linolenic_acid",0.749128950756265,0.464881567843868,-10.6838449347257,FALSE
"lysine",0.89001587438332,-0.340191673543965,-6.36200947387343,FALSE
"maleimide",0.885364057822797,-0.00181933525484699,-12.0889006129952,FALSE
"maltose",0.737074924547917,1.05011555383834,-11.7262322764713,FALSE
"maltotriose",0.657314145402329,0.880546500062054,-12.6692100805953,FALSE
"mannitol",0.657314145402329,-0.603063007767617,-8.46543092441932,FALSE
"methanolphosphate",0.885364057822797,-0.0314179179148272,-12.5934125775216,FALSE
"methionine",0.676315554218343,-0.0697703990403101,-9.67397705005219,FALSE
"methionine_sulfoxide",0.885198516142,0.212480694475818,-11.2447103115557,FALSE
"methylhexadecanoic_acid",0.899402834561854,0.142201174075626,-10.1778773108297,FALSE
"myristic_acid",0.777000258739541,0.241365268511895,-10.5970538006558,FALSE
"N-acetylglutamate",0.966067473671343,0.221601698448581,-12.2848230026277,FALSE
"naproxen",0.749192033357946,-0.581780485011449,-12.9088038570207,FALSE
"nicotinic_acid",0.749192033357946,0.264067931209056,-11.4591426805211,FALSE
"N-methylalanine",0.676315554218343,0.106594273418967,-7.76986867088866,FALSE
"oleic_acid",0.737074924547917,0.602763728780158,-9.10054076605828,FALSE
"ornithine",0.657314145402329,-0.0105365430645056,-6.45114622056927,FALSE
"oxalic_acid",0.737074924547917,0.411660561585638,-3.13533295072545,FALSE
"oxoproline",0.966067473671343,0.169257559641697,-5.19510268049491,FALSE
"palmitic_acid",0.885198516142,0.203573870157475,-6.7684764163934,FALSE
"palmitoleic_acid",0.657314145402329,0.789423841249805,-9.63170933248614,FALSE
"paracetamol",0.885364057822797,1.43669215864956,-13.4826388541729,FALSE
"pelargonic_acid",0.657314145402329,-0.106399296745175,-8.28026436396071,FALSE
"phenylalanine",0.657314145402329,0.0972732880688441,-7.25161417324512,FALSE
"phenylethylamine",0.657314145402329,0.101217648385564,-12.4447202647779,FALSE
"pipecolic_acid",0.657314145402329,-0.0780904645578259,-12.7477236608034,FALSE
"proline",0.797613218827808,-0.352519070264845,-5.60540031883054,FALSE
"pseudo_uridine",0.737074924547917,0.144941345635622,-10.3819753300998,FALSE
"pyrophosphate",0.657314145402329,0.887051830344421,-9.94038428917002,FALSE
"pyruvic_acid",0.980244051648695,0.163679146320883,-8.88342366013104,FALSE
"quinic_acid",0.831025369722217,-0.256384490570638,-11.988152960146,FALSE
"saccharic_acid",0.885364057822797,-0.103916245461575,-14.0168246368849,FALSE
"salicylic_acid",0.831025369722217,1.68927949578678,-12.1170383187133,FALSE
"serine",0.676315554218343,0.031124704507816,-6.75086761461133,FALSE
"shikimic_acid",0.885364057822797,-0.565793214372566,-12.7514928844598,FALSE
"stearic_acid",0.899402834561854,0.116376194012321,-4.35714758693267,FALSE
"succinic_acid",0.657314145402329,0.21929172715795,-12.7737424331058,FALSE
"sucrose",0.749192033357946,0.539368428436105,-13.7821398031136,FALSE
"tagatose",0.885364057822797,0.0453114352596385,-12.0453750167673,FALSE
"taurine",0.657314145402329,0.109953483032498,-10.1714094569657,FALSE
"threitol",0.657314145402329,-0.0382726235462794,-12.4792277235429,FALSE
"threonic_acid",0.657314145402329,-0.260067227571817,-10.9643309292139,FALSE
"threonine",0.749128950756265,-0.113609936743957,-6.63021899298588,FALSE
"tocopherol_alpha",0.657314145402329,0.195290766616487,-10.501465610185,FALSE
"trans-4-hydroxyproline",0.966067473671343,-0.181462109978211,-11.4124061919567,FALSE
"tryptophan",0.885364057822797,-0.457930009837793,-6.82613638588867,FALSE
"tyrosine",0.89001587438332,-0.101498947638015,-6.08067991767577,FALSE
"urea",0.966067473671343,-0.362217408471414,-4.12581347162213,FALSE
"uric_acid",0.906842251562635,-0.312741904312585,-6.98188087129561,FALSE
"uridine",0.696728860430651,-0.0624460419195039,-13.6382587232835,FALSE
"valine",0.749192033357946,-0.0754256902642675,-4.47176853934038,FALSE
"xanthine",0.809109244111297,0.222357933949729,-14.4422388506607,FALSE
"xylitol",0.89001587438332,0.422278877273928,-12.6786068556641,FALSE
"xylose",0.361349454491756,-0.347386866248506,-13.0603836107981,FALSE
