"variables","pvalues","log2FoldChange","significance"
"1_5-anhydroglucitol",0.650843298299174,-0.205626857957532,FALSE
"1-monopalmitin",0.902576393223527,0.103638110064865,FALSE
"1-monostearin",0.329118831665103,-0.0570054856139444,FALSE
"2-deoxyerythritol",0.981279873325328,0.361882145572903,FALSE
"2-hydroxybutanoic_acid",0.169776516200228,0.184234138346874,FALSE
"2-hydroxyglutaric_acid",0.0541971827589813,0.326024727025493,FALSE
"2-hydroxyhippuric_acid",0.0653759754854878,2.24600530022969,FALSE
"2-hydroxyvaleric_acid",0.960833694363624,0.0926802085583718,FALSE
"2-ketoisocaproic_acid",0.902576393223527,-0.00199578422903506,FALSE
"3-aminoisobutyric_acid",0.960833694363624,0.0665331600296349,FALSE
"3-hydroxybutanoic_acid",0.0698714280804753,1.10172438865072,FALSE
"3-phosphoglycerate",0.0128726072514385,0.702982651729957,TRUE
"4-hydroxyproline",0.976885772887902,0.0939630950729906,FALSE
"5-methoxytryptamine",0.937691839254768,0.141937235571767,FALSE
"aconitic_acid",0.435910017320041,-0.0334382358715575,FALSE
"adenosine-5-phosphate",0.0653759754854878,1.29920615837794,FALSE
"adipic_acid",0.650843298299174,-0.0656596848016497,FALSE
"alanine",0.833032664082458,-0.0422038415748636,FALSE
"alpha_ketoglutaric_acid",0.921562219478221,0.187570331345196,FALSE
"aminomalonic_acid",0.250487983502432,0.118320454497144,FALSE
"arabinose",0.371648033131879,0.172475623337965,FALSE
"arabitol",0.54207114603773,0.0156012124408932,FALSE
"arachidic_acid",0.178713568098162,-0.229506067954569,FALSE
"arachidonic_acid",0.051662194286372,0.309665238723932,FALSE
"asparagine",0.769003075350358,-0.0214405792603116,FALSE
"aspartic_acid",0.0301988618390147,0.532635503253922,TRUE
"azelaic_acid",0.0301988618390147,1.07511312484378,TRUE
"behenic_acid",0.960833694363624,0.0993283392923973,FALSE
"benzoic_acid",0.238220598076295,-0.078960403444742,FALSE
"benzylalcohol",0.755714861498038,0.035272666327574,FALSE
