"variables","pvalues","adj_pvalues","FoldChange","pkimodelsmean","significance_raw","significance_adj"
"1_5-anhydroglucitol",0.646853531464685,0.840909590904091,0.900464764451643,-7.53831037550199,FALSE,FALSE
"1-monopalmitin",0.927190728092719,0.977153428465715,1.07608198315896,-13.9326756219962,FALSE,FALSE
"1-monostearin",0.268637313626864,0.594303734382011,0.954227728646082,-14.8802368344076,FALSE,FALSE
"2-deoxyerythritol",0.923950760492395,0.977153428465715,1.21478465769373,-12.1880978706355,FALSE,FALSE
"2-hydroxybutanoic_acid",0.107578924210758,0.354423728489988,1.15667536926885,-7.1516995478832,FALSE,FALSE
"2-hydroxyglutaric_acid",0.01169988300117,0.1169988300117,1.31407979787662,-12.4004704330576,TRUE,FALSE
"2-hydroxyhippuric_acid",0.031919680803192,0.21709782902171,5.31989694771536,-14.0157395883598,TRUE,FALSE
"2-hydroxyvaleric_acid",0.671273287267127,0.855544385732613,1.08944814863446,-10.7549542306432,FALSE,FALSE
"2-ketoisocaproic_acid",0.785272147278527,0.903801581453212,1.03356948103702,-8.88073969016457,FALSE,FALSE
"3-aminoisobutyric_acid",0.704252957470425,0.871932233058622,1.07386261055601,-12.0094197991288,FALSE,FALSE
"3-hydroxybutanoic_acid",0.100538994610054,0.354423728489988,2.1213928352491,-8.29289673544384,FALSE,FALSE
"3-phosphoglycerate",0.000119998800012,0.01039989600104,1.68692965891292,-12.8186399941056,TRUE,TRUE
"4-hydroxyproline",0.559774402255977,0.798531145123331,1.09789562346045,-9.52004081404523,FALSE,FALSE
"5-methoxytryptamine",0.19629803701963,0.50959490405096,1.41730844429521,-13.0522034474912,FALSE,FALSE
"aconitic_acid",0.234537654623454,0.554361729109982,0.977120294793657,-13.725480885077,FALSE,FALSE
"adenosine-5-phosphate",0.000439995600044,0.0190664760019066,1.99361509964969,-12.2929064744927,TRUE,TRUE
"adipic_acid",0.578134218657813,0.801511133824832,0.989249789469097,-12.1379710840089,FALSE,FALSE
"alanine",0.982690173098269,0.985190148098519,0.994547144471704,-3.76792663601085,FALSE,FALSE
"alpha_ketoglutaric_acid",0.23919760802392,0.5552801614841,1.15156747450172,-11.9653080439643,FALSE,FALSE
"aminomalonic_acid",0.565114348856511,0.798531145123331,1.04563944042053,-10.4397574769176,FALSE,FALSE
"arabinose",0.488275117248827,0.746773708733501,1.15609332499864,-12.659209154515,FALSE,FALSE
"arabitol",0.746232537674623,0.89000210915322,1.03208974859501,-13.6268017437733,FALSE,FALSE
"arachidic_acid",0.199918000819992,0.50959490405096,0.823050310700842,-9.90111901412934,FALSE,FALSE
"arachidonic_acid",0.349436505634944,0.648953510464895,1.14470909700062,-11.6134110379396,FALSE,FALSE
"asparagine",0.119958800411996,0.354423728489988,0.861075174589645,-9.69641342945944,FALSE,FALSE
"aspartic_acid",0.37649623503765,0.677749979256964,1.15425869591697,-11.1368936958115,FALSE,FALSE
"azelaic_acid",0.112518874811252,0.354423728489988,1.11587476645857,-14.0778901265369,FALSE,FALSE
"behenic_acid",0.785612143878561,0.903801581453212,0.97028224583293,-13.0387454346999,FALSE,FALSE
"benzoic_acid",0.471275287247128,0.738643215977479,0.96543906845656,-9.18621520283826,FALSE,FALSE
"benzylalcohol",0.939570604293957,0.977153428465715,1.03907997174955,-11.2013031770839,FALSE,FALSE
"capric_acid",0.641853581464185,0.840909590904091,1.05664551579208,-10.5601465013697,FALSE,FALSE
"caprylic_acid",0.973110268897311,0.985190148098519,0.978054021202026,-11.3262505087182,FALSE,FALSE
"cholesterol",0.311876881231188,0.629993700062999,1.13217064698695,-5.22545741683623,FALSE,FALSE
"citric_acid",0.514734852651473,0.776151329395797,1.00221297030803,-6.72305808073732,FALSE,FALSE
"citrulline",0.001379986200138,0.035879641203588,0.735219461589209,-11.8707741606818,TRUE,TRUE
"creatinine",0.0564794352056479,0.258562931612063,1.07352907948528,-8.94238824740867,FALSE,FALSE
"cysteine",0.278937210627894,0.594303734382011,0.795561664576867,-10.5946485337164,FALSE,FALSE
"cysteine-glycine",0.523554764452355,0.776151329395797,0.965740755194314,-13.1118715221302,FALSE,FALSE
"cystine",0.000159998400016,0.01039989600104,0.601183394389228,-9.95506428489499,TRUE,TRUE
"dihydro-3-coumaric_acid",0.852631473685263,0.947368304094737,0.963591473862286,-11.7831670855488,FALSE,FALSE
"erythritol",0.03339966600334,0.21709782902171,0.192437114938135,-11.3956898268627,TRUE,FALSE
"ethanolamine",0.043459565404346,0.225989740102599,1.39132689928261,-10.8550263662525,TRUE,FALSE
"fructose",0.19659803401966,0.50959490405096,0.461236762265161,-10.4692654787624,FALSE,FALSE
"fucose",0.968990310096899,0.985190148098519,1.07875847774935,-10.866007864146,FALSE,FALSE
"fumaric_acid",0.983030169698303,0.985190148098519,0.996029997719249,-12.7523833013298,FALSE,FALSE
"gamma-tocopherol",0.643553564464355,0.840909590904091,0.825108692976034,-12.6494986484507,FALSE,FALSE
"gluconic_acid",0.593214067859321,0.811766619175914,1.04635112829482,-13.0898768451034,FALSE,FALSE
"glucose",0.101858981410186,0.354423728489988,0.808875697824691,-3.53420471296403,FALSE,FALSE
"glucuronic_acid",0.809191908080919,0.921521219570413,1.34085776420464,-11.992227687383,FALSE,FALSE
"glutamic_acid",0.111058889411106,0.354423728489988,1.21072290502695,-7.99319558111314,FALSE,FALSE
"glutamine",0.011459885401146,0.1169988300117,0.785586028728185,-5.49631725010659,TRUE,FALSE
"glutaric_acid",0.579554204457955,0.801511133824832,1.17413054360274,-14.0053363790248,FALSE,FALSE
"glyceric_acid",0.458875411245888,0.738643215977479,1.04417971611152,-10.1576200187575,FALSE,FALSE
"glycerol",0.414375856241438,0.690626427069063,1.2259450959218,-6.78666293510829,FALSE,FALSE
"glycerol-3-galactoside",0.47159528404716,0.738643215977479,1.02006623580418,-12.5886470810773,FALSE,FALSE
"glycerol-alpha-phosphate",0.015939840601594,0.14801280558623,1.23888097828148,-12.2970680685076,TRUE,FALSE
"glycine",0.890571094289057,0.977153428465715,0.997721541332644,-4.41867526822609,FALSE,FALSE
"glycolic_acid",0.0922590774092259,0.354423728489988,1.11894016438607,-11.4206139962657,FALSE,FALSE
"hippuric_acid",0.13619863801362,0.393462732039346,1.37885929658775,-7.98111641643039,FALSE,FALSE
"histidine",0.003039969600304,0.05645657829136,0.70628890232589,-8.68452276995718,TRUE,FALSE
"hydroxylamine",0.280717192828072,0.594303734382011,1.09825005166036,-10.501289555597,FALSE,FALSE
"indole-3-acetate",0.642293577064229,0.840909590904091,1.04631029638166,-11.2777955632437,FALSE,FALSE
"indole-3-lactate",0.0530794692053079,0.255567814692223,0.867933403275275,-11.8382198888142,FALSE,FALSE
"inosine",0.11749882501175,0.354423728489988,0.562259469880642,-14.8095987446892,FALSE,FALSE
"inulobiose",0.655793442065579,0.8440905689953,1.38976348713371,-12.7348448208386,FALSE,FALSE
"isocitric_acid",0.697473025269747,0.871841281587184,1.11812053613349,-11.738073532481,FALSE,FALSE
"isoleucine",0.815191848081519,0.921521219570413,1.04275740557593,-5.94442165239637,FALSE,FALSE
"isothreonic_acid",0.487115128848711,0.746773708733501,1.10547249480525,-11.7021705001996,FALSE,FALSE
"kynurenine",0.397156028439716,0.68840378262884,1.43527662076741,-13.6452115060668,FALSE,FALSE
"lactamide",0.16719832801672,0.452828805045283,1.207887812505,-12.5982954001702,FALSE,FALSE
"lactic_acid",0.038439615603844,0.217267392543466,1.62862449628174,-4.62507717074379,TRUE,FALSE
"lauric_acid",0.343776562234378,0.648953510464895,1.1624704321426,-8.82440356138305,FALSE,FALSE
