"variables","pvalues","log2FoldChange","pkimodelsmean","significance"
"1_5-anhydroglucitol",0.710923342030438,-0.25799670870669,-7.49156870877529,FALSE
"1-monopalmitin",0.968378749382666,0.107160900346802,-13.7701807847961,FALSE
"1-monostearin",0.658355423380591,-0.0419072844049106,-14.5757729844449,FALSE
"2-deoxyerythritol",0.715357043473511,0.439027178323042,-12.0983677761448,FALSE
"2-hydroxybutanoic_acid",0.448431853347268,0.168547406239542,-6.88913883973542,FALSE
"2-hydroxyglutaric_acid",0.448431853347268,0.295634932690439,-11.7541385790354,FALSE
"2-hydroxyhippuric_acid",0.968378749382666,2.01515821935291,-14.0857342172869,FALSE
"2-hydroxyvaleric_acid",0.482215137511143,0.00830556195561963,-11.0295669547424,FALSE
"2-ketoisocaproic_acid",0.503855856859007,-0.0609388462474661,-9.10414909872159,FALSE
"3-aminoisobutyric_acid",0.892386635652435,0.00673797142917987,-12.5205436158547,FALSE
"3-hydroxybutanoic_acid",0.501560860247393,1.12037996359252,-8.11022186665924,FALSE
"3-phosphoglycerate",0.968378749382666,0.601192697018224,-14.0217149215316,FALSE
"4-hydroxyproline",0.968378749382666,0.0670416829958196,-9.25225482101847,FALSE
"5-methoxytryptamine",0.503855856859007,-0.108759306866077,-12.7413099775477,FALSE
"aconitic_acid",0.845846072883248,-0.0525246381318715,-14.3990961188733,FALSE
"adenosine-5-phosphate",0.968378749382666,1.79489841438718,-14.312901484352,FALSE
"adipic_acid",0.912891879350313,-0.164962765837415,-12.5835362292125,FALSE
"alanine",0.892416357359643,-0.0651011356741915,-3.47988702053555,FALSE
"alpha_ketoglutaric_acid",0.871874080126584,0.128411386267392,-13.150657509892,FALSE
"aminomalonic_acid",0.845846072883248,0.184331033604888,-10.8905105235712,FALSE
"arabinose",0.718037980898777,0.130018156909977,-12.7359747357483,FALSE
"arabitol",0.722747175769105,-0.0110851823285739,-13.5399837757077,FALSE
"arachidic_acid",0.892416357359643,-0.15578543389062,-10.7583556908868,FALSE
"arachidonic_acid",0.448431853347268,0.407627232321122,-11.1551021318905,FALSE
"asparagine",0.487653218657967,0.113807550616002,-8.78059200434795,FALSE
"aspartic_acid",0.448431853347268,0.639105834020912,-8.85990687197408,FALSE
