"variables","pvalues","adj_pvalues","FoldChange","pkimodelsmean","significance_raw","significance_adj"
"1_5-anhydroglucitol",0.528194718052819,0.774792252077479,0.836248307687531,-7.53831037550199,FALSE,FALSE
"1-monopalmitin",0.650373496265037,0.867064798739768,1.07710649662048,-13.9326756219962,FALSE,FALSE
"1-monostearin",0.37959620403796,0.675993240067599,0.971369919161111,-14.8802368344076,FALSE,FALSE
"2-deoxyerythritol",0.970990290097099,0.987607178191784,1.35568986582871,-12.1880978706355,FALSE,FALSE
"2-hydroxybutanoic_acid",0.296577034229658,0.621855071771863,1.12392627695829,-7.1516995478832,FALSE,FALSE
"2-hydroxyglutaric_acid",0.172658273417266,0.533357457123103,1.22742505038073,-12.4004704330576,FALSE,FALSE
"2-hydroxyhippuric_acid",0.10539894601054,0.420250342951116,4.04224907225879,-14.0157395883598,FALSE,FALSE
"2-hydroxyvaleric_acid",0.30459695403046,0.628533397205711,1.00577358008994,-10.7549542306432,FALSE,FALSE
"2-ketoisocaproic_acid",0.525054749452506,0.774792252077479,0.95864007299552,-8.88073969016457,FALSE,FALSE
"3-aminoisobutyric_acid",0.842791572084279,0.935383979493538,1.00468132924332,-12.0094197991288,FALSE,FALSE
"3-hydroxybutanoic_acid",0.0868991310086899,0.376562901037656,2.17404222866656,-8.29289673544384,FALSE,FALSE
"3-phosphoglycerate",0.15049849501505,0.489120108798912,1.51697014959448,-12.8186399941056,FALSE,FALSE
"4-hydroxyproline",0.753172468275317,0.906601648269232,1.04756639342328,-9.52004081404523,FALSE,FALSE
"5-methoxytryptamine",0.316236837631624,0.642356076439236,0.927385254560076,-13.0522034474912,FALSE,FALSE
"aconitic_acid",0.653633463665363,0.867064798739768,0.964247470836085,-13.725480885077,FALSE,FALSE
"adenosine-5-phosphate",0.850491495085049,0.935383979493538,3.46991041049386,-12.2929064744927,FALSE,FALSE
"adipic_acid",0.543114568854311,0.775877955506159,0.89195153928162,-12.1379710840089,FALSE,FALSE
"alanine",0.536394636053639,0.774792252077479,0.955878306352425,-3.76792663601085,FALSE,FALSE
"alpha_ketoglutaric_acid",0.775372246277537,0.906601648269232,1.09308939045064,-11.9653080439643,FALSE,FALSE
"aminomalonic_acid",0.0842591574084259,0.376562901037656,1.13628996230091,-10.4397574769176,FALSE,FALSE
"arabinose",0.26909730902691,0.605176999077467,1.09430747348334,-12.659209154515,FALSE,FALSE
"arabitol",0.279637203627964,0.605880607860588,0.992345781000023,-13.6268017437733,FALSE,FALSE
"arachidic_acid",0.1959980400196,0.55549009727294,0.897643543578386,-9.90111901412934,FALSE,FALSE
"arachidonic_acid",0.00535994640053599,0.0787083038260527,1.32650235083491,-11.6134110379396,TRUE,FALSE
"asparagine",0.138418615813842,0.489120108798912,1.0820802899882,-9.69641342945944,FALSE,FALSE
